"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"1995 week 1";"2719";"476";"901";"1342"
"1995 week 2";"2823";"511";"955";"1357"
"1995 week 3";"2609";"473";"888";"1248"
"1995 week 4";"2664";"513";"880";"1271"
"1995 week 5";"2577";"484";"874";"1219"
"1995 week 6";"2536";"464";"879";"1193"
"1995 week 7";"2551";"503";"888";"1160"
"1995 week 8";"2510";"481";"838";"1191"
"1995 week 9";"2490";"491";"852";"1147"
"1995 week 10";"2770";"513";"986";"1271"
"1995 week 11";"2800";"486";"980";"1334"
"1995 week 12";"2786";"516";"958";"1312"
"1995 week 13";"2634";"498";"923";"1213"
"1995 week 14";"2717";"492";"901";"1324"
"1995 week 15";"2645";"499";"970";"1176"
"1995 week 16";"2691";"508";"937";"1246"
"1995 week 17";"2645";"488";"906";"1251"
"1995 week 18";"2628";"508";"928";"1192"
"1995 week 19";"2486";"528";"869";"1089"
"1995 week 20";"2482";"463";"893";"1126"
"1995 week 21";"2468";"492";"877";"1099"
"1995 week 22";"2485";"514";"895";"1076"
"1995 week 23";"2319";"485";"810";"1024"
"1995 week 24";"2352";"435";"859";"1058"
"1995 week 25";"2498";"477";"850";"1171"
"1995 week 26";"2663";"511";"924";"1,228"
"1995 week 27";"2489";"522";"873";"1094"
"1995 week 28";"2808";"517";"931";"1360"
"1995 week 29";"2451";"480";"878";"1093"
"1995 week 30";"2466";"512";"841";"1113"
"1995 week 31";"2744";"527";"889";"1328"
"1995 week 32";"2473";"504";"871";"1098"
"1995 week 33";"2380";"466";"848";"1066"
"1995 week 34";"2427";"508";"851";"1068"
"1995 week 35";"2278";"472";"793";"1013"
"1995 week 36";"2362";"512";"819";"1031"
"1995 week 37";"2348";"500";"846";"1002"
"1995 week 38";"2437";"479";"956";"1002"
"1995 week 39";"2366";"508";"838";"1020"
"1995 week 40";"2525";"496";"931";"1098"
"1995 week 41";"2600";"526";"920";"1154"
"1995 week 42";"2417";"496";"895";"1026"
"1995 week 43";"2455";"503";"891";"1061"
"1995 week 44";"2573";"549";"958";"1066"
"1995 week 45";"2533";"491";"933";"1109"
"1995 week 46";"2691";"544";"978";"1169"
"1995 week 47";"2613";"491";"965";"1157"
"1995 week 48";"2646";"468";"960";"1218"
"1995 week 49";"2826";"527";"1028";"1271"
"1995 week 50";"3098";"560";"1130";"1408"
"1995 week 51";"3291";"569";"1199";"1523"
"1995 week 52";"3436";"585";"1,228";"1623"
"1995 ";"135675";"26183";"47807";"61685"
"1996 week 1";"3546";"603";"1155";"1788"
"1996 week 2";"3257";"557";"1090";"1610"
"1996 week 3";"2970";"507";"994";"1469"
"1996 week 4";"2855";"492";"1023";"1,340"
"1996 week 5";"2992";"505";"1037";"1450"
"1996 week 6";"3089";"510";"1007";"1572"
"1996 week 7";"3046";"533";"1042";"1471"
"1996 week 8";"2887";"464";"959";"1464"
"1996 week 9";"2878";"520";"956";"1402"
"1996 week 10";"2714";"459";"941";"1314"
"1996 week 11";"2807";"522";"926";"1359"
"1996 week 12";"2784";"493";"973";"1318"
"1996 week 13";"2727";"522";"950";"1255"
"1996 week 14";"2765";"491";"962";"1312"
"1996 week 15";"2642";"493";"916";"1233"
"1996 week 16";"2856";"529";"987";"1340"
"1996 week 17";"2703";"489";"944";"1270"
"1996 week 18";"2498";"475";"868";"1155"
"1996 week 19";"2519";"482";"873";"1164"
"1996 week 20";"2598";"525";"925";"1148"
"1996 week 21";"2514";"511";"894";"1109"
"1996 week 22";"2523";"513";"876";"1134"
"1996 week 23";"2752";"521";"868";"1363"
"1996 week 24";"2506";"454";"902";"1150"
"1996 week 25";"2366";"477";"819";"1070"
"1996 week 26";"2376";"482";"863";"1031"
"1996 week 27";"2433";"497";"840";"1096"
"1996 week 28";"2490";"490";"896";"1104"
"1996 week 29";"2467";"515";"876";"1076"
"1996 week 30";"2500";"527";"850";"1123"
"1996 week 31";"2285";"506";"773";"1006"
"1996 week 32";"2449";"475";"922";"1052"
"1996 week 33";"2357";"476";"850";"1031"
"1996 week 34";"2364";"508";"832";"1024"
"1996 week 35";"2273";"472";"839";"962"
"1996 week 36";"2150";"440";"781";"929"
"1996 week 37";"2275";"434";"897";"944"
"1996 week 38";"2523";"502";"899";"1122"
"1996 week 39";"2582";"571";"886";"1125"
"1996 week 40";"2467";"505";"857";"1105"
"1996 week 41";"2417";"487";"930";"1000"
"1996 week 42";"2377";"496";"869";"1012"
"1996 week 43";"2465";"495";"877";"1093"
"1996 week 44";"2404";"525";"832";"1047"
"1996 week 45";"2513";"487";"905";"1121"
"1996 week 46";"2537";"542";"942";"1053"
"1996 week 47";"2636";"546";"976";"1114"
"1996 week 48";"2591";"518";"964";"1109"
"1996 week 49";"2604";"506";"996";"1102"
"1996 week 50";"2708";"531";"970";"1207"
"1996 week 51";"2773";"532";"1006";"1235"
"1996 week 52";"2893";"519";"1063";"1311"
"1996 week 53 (2 dagen)";"858";"157";"307";"394"
"1996";"137561";"26388";"48385";"62788"
"1997 week 1 (5 dagen)";"2268";"386";"740";"1142"
"1997 week 2";"3290";"568";"1064";"1658"
"1997 week 3";"3249";"480";"1085";"1684"
